# Official proper nouns for AI context and exact lookups
# Columns: origin_en,origin_cn,shathyar
C'Thun,克苏恩,C'Thun
N'Zoth,恩佐斯,N'Zoth
Y'Shaarj,亚煞极,Y'Shaarj
Yogg-Saron,尤格萨隆,Yogg-Saron
Xal'atath,萨拉塔斯,Xal'atath
G'huun,戈霍恩,G'huun
N'raqi,恩拉基,N'raqi
Volazj,沃拉兹,Volazj
Ulthok,乌尔索克,Ulthok
Yorsahj,约萨希,Yorsahj
Soth'ozz,索斯奥兹,Soth'ozz
Kaahrj,卡什,Kaahrj
Vol'zith,沃尔兹斯,Vol'zith
C'Thrax,克拉西斯,C'Thrax
C'Thraxxi,克拉西斯（复数）,C'Thraxxi
Erudax,埃鲁达克,Erudax
Zonozz,佐诺兹,Zonozz
Zakajz,扎卡兹,Zakajz
Mythrax,米斯拉克斯,Mythrax
Ny'alotha,尼奥罗萨,Ny'alotha
Go'rath,苟拉斯,Go'rath
Shu'ma,舒玛,Shu'ma
