origin_CN,Snathyar,origin_EN
我在你肺里安家了！,Aglathrax hig' thrixa.,I reside within your lungs!
我们的数量无穷无尽我们的力量超乎想象！所有敢于和灭世者作对的人都将被千刀万剐！,Ak'agthshi ma uhnish ak'uq shg'cul vwahuhn! H'iwn iggksh Phquathi gag OOU KAAXTH SHUUL!,Our numbers are endless our power beyond reckoning! All who oppose the Destroyer will DIE A THOUSAND DEATHS!
这是真的还是幻觉？你疯了……疯了……疯了……,Al'ksh syq iir awan? Iilth sythn aqev... aqev... aqev...,Is this real or an illusion? You are going mad... mad... mad...
戈霍恩是无法阻止的……,AN'zig wgah qam za zyqtahg...,
没有什么能够阻止我的瘟疫！,Awtgssh shn ongg shg'ullwaq!,
你的盟友喜欢看着你死去。,Bwaxa za' raga xil!,
我会在黑暗中……等你……,Bwixki amala zal qulllll...,I will await you... in the dark...
哦死亡之翼！您忠实的仆人辜负了您！,Ez Shuul'wah! Sk'woth'gl yu'gaz yoh'ghyl iilth!,O Deathwing! Your faithful servant has failed you!
凝视恩佐斯的内心吧。,Gul'kafh an'qov N'zoth.,Gaze into the heart of N'Zoth
凝视虚空吧。它们就居住在其中。,Gul'kafh an'shel. Yoq'al shn ky ywaq nuul.,Gaze into the void. It is the perpetuity in which they dwell.
赞美伟大的灭世者死亡之翼！,H'iwn zaix Shuul'wah PHQUATHI!,All praise Deathwing THE DESTROYER!
这怎么……可能……,Hul bala miz rilakich...,
你们的恐惧就是我的食粮！,I ongg za ywaq qvsakf.,I feed on your terror!
我会让你化为灰烬！,I wgah far'al zuq ni shn!,I will reduce you to ash!
你只是被禁锢在躯壳中的囚犯是恐惧的仆从！,Iilth ma paf'qi'ag sk'halahs. GAZ SKSHGN!,You are a prisoner in your own body. A SERVANT OF FEAR!
你将第一个见证恩佐斯的疯狂！,Iilth qi mah'shar fhn oorql N'Zoth!,You will be the first of many to glimpse the madness of N'Zoth!
古神之血将淹没你们！淹没你们所有人！,Iilth qi'uothk shn'ma yeh'glu Shath'Yar! H'IWN IILTH!,You will drown in the blood of the Old Gods! ALL OF YOU!
每倒下一个会有更多的阴影接替它的位置。,Iilth vwah uhn'agth fhssh za.,Where one falls many shall take its place...
劣等生物要么臣服……要么灭亡！,Il qul zerakish!,
聆听溺亡者的乐音。,Krax il' oni OGOG!,
蠕动者觉醒了！,Kril lax qutholil!,
见证我们从破碎的大地下涌出的那一刻吧！,KYTH ag'xig yyg'far IIQAATH ONGG!,SEE how we pour from the CURSED EARTH!
孩子们过来吞噬吧！,Log'loth w'oq Ongg!,Children come and feed!
在恩佐斯翻滚的阴影之下一切光明都将黯淡消逝。,Mg'uulwi N'Zoth eth'razzqi worg zz oou.,In the writhing shadow of N'Zoth all light fades and dies.
消灭一切！,Naz raqul!,
恩佐斯的意志将腐蚀你。,N'zoth ga zyqtahg iilth.,The will of N'Zoth corrupts you.
恩佐斯的意志已经实现了！它是不可抗拒的！,N'Zoth iiyoq raz'tal'vsak! IIYOQ NEL'OTHK AR'AFGH!,The will of N'Zoth is made manifest! IT CANNOT BE CONTAINED!
爆发已经开始!,Oou gul'kafh lal lwhuk!,The outbreak has begun!
腐化会传遍你的每一根血管。让它传播。,Oou qam puul zyqtahg ywaq vorzz Qam ma shn'ma.,
你们的腐化……已经深入骨髓……,Oou shath'yar lwhuk shn'ma yrr shandi agth fhssh.,The contagion... has taken root within you...
泰坦也拯救不了你们！,Oou vwahuHn ag'xig shfk zuq!,
把自己献给瘟疫吧！,Puul qi'plahf ni oou bormax!,
让千喉之宴开始吧！,Qam oou iilth ez i awtgsshu amun on'ma!,Let the feast of a thousand maws begin.
上古之神在召唤。去吧……去吧……去吧……,Shath'gral ynyq. Weq... weq... weq...,The Old Ones beckon. Go... go... go...
黑暗帝国曾是这个可悲世界的主宰它必将再次崛起！我们将在这个王国的腐尸上重建恐怖的堡垒！,Shath'mag vwyq shu et'agthu Shath'mag sshk ye! Ag'rr hazz ak'yel ksh ga'halahs pahg!,The Black Empire once ruled this pitiful world and it will do so again! We will reforge our dread citadels atop the fly-blown corpse of this kingdom!
饥饿驱使着那些以失落灵魂为食的阴影。,Shgla'yos plahf mh'naus.,They who dine on lost souls know only hunger.
我们冲出最黑暗的深渊将要夺回这个世界！,Shkul an'zig qvsakf KSSH'GA ag'THYZAK agthu!,From its BLEAKEST DEPTHS we RECLAIM this world!
波涛之下你的真理在等待。,Skitsh qi'uthik illith!,
你们的苦难强化了我。,Sk'magg yawifk hoq.,Your suffering strengthens me.
你们的恐惧驱使着我。,Sk'shgn eqnizz hoq.,Your fear drives me.
你们的死亡将歌颂恩佐斯无尽的荣耀。,Sk'shuul agth vorzz N'zoth naggwa'fssh.,Your deaths shall sing of N'Zoth's unending glory.
你们的头颅将装饰恩佐斯的扭曲王座。,Sk'tek agth nuq N'Zoth yyqzz.,Your skulls shall adorn N'Zoth's writhing throne.
你们的痛苦支撑着我。,Sk'uuyat guulphg hoq.,Your agony sustains me.
你们的灵魂将成为恩佐斯口中的美餐。,Sk'yahf agth huqth N'Zoth qornaus.,Your souls shall sate N'Zoth's endless hunger.
你的灵魂将永远迷失在那条无尽的螺旋长路上。,Sk'yahf qi'magg luk sshoq anagg'qen.,Your soul will wander roads that twist in endless spirals.
你的灵魂将遭受无尽的折磨！,Sk'yahf qi'plahf PH'MAGG!,Your soul will know ENDLESS TORMENT!
你是最羸弱的一支！,Ug' bwafa qilikx za!,
我要消灭你！,Ug' crish zul Thraxas!,
黑暗生根。灾疫扩散。门扉开启。,Ugalazul bwrxil' qu rax.,Darkness roots. Pestilence spreads. The doorway is open.
我是你们的主宰！,Ul basha krix.,
你归我了！,ULL vera skish!,
为了这一天……等待了那么久……,Uovssh thyzz... qwaz...,To have waited so long... for this...
夏尔扎克斯渴望毁灭!,Uulg'ma zyqtahg yrr!,Xalzaix hungers for annihilation.
让黑暗吞噬一切！,UULL lwhuk H'IWN!,The DARKNESS devours ALL!
,Uulwi ifis halahs gag erh'ongg w'ssh.,The shadow of my corpse will choke this land for all eternity.
恩佐斯这扭曲的血肉大旗终将再次飘扬在这个世界的尸体上空猎猎作响。数千年后我们终于回来了。,Vwyq agth sshoq'meg N'Zoth vra zz shfk qwor ga'halahs agthu. Uulg'ma ag qam.,Once more shall the twisted flesh-banners of N'Zoth chitter and howl above the fly-blown corpse of this world. After millennia we have returned.
觉得身体已经不听使唤了吗？因为我已经腐化了你们。,Vwah oou kaaxth zz ywaq iiyoq Ag'xlg fhssh I on'ma.,Feel the twitch in your spine? That is where I exist.
来吧腐化的仆人们。吞噬！,W'oq uhn'agth ez qam Shandai!,Come servants of rot.
毁灭！,Wgall uul agth!,
鲜血在深渊中倾泻。,Xul krass qi' UN skush!,Blood pours forth in the depths.
我不是第一个……也不会是最后一个……,Y'za noq mah... Y'za noq ormz...,I am not the first... I am not the last...
我流着恩佐斯的血脉……我不可能死……,Yeh'glu N'Zoth okom hoq... Y'za sythn oou...,The blood of N'Zoth runs through me... I cannot die...
你们的世界将被终结！,Ywaq fhssh wgah qam!,Your world will end!
他们不会死。,Ywaq maq oou.,They do not die.
它们无所谓死亦无所谓生。它们游离于生命的循环之外。,Ywaq maq oou; ywaq maq ssaggh. Ywaq ma shg'fhn.,They do not die; they do not live. They are outside the cycle.
,Ywaq mh'naus wgah zaix zyqtahg.,
死亡之翼必胜。为了恩佐斯的荣耀！,Zzof Shuul'wah. Thoq fssh N'Zoth!,Victory for Deathwing. For the glory of N'Zoth!
你们谁也逃脱不了被感染的命运！,Zuq ag'xig bormaz ag'thyzak!,You cannot escape infection!
你们无法抵抗我的召唤。,Zuq ag'xig ka'kar za wgah!,
你活不了的！,Zuq wgah qam n'lyeth!,You will not survive!
它们就是颤栗之风上的低语。,Ywaq ma phgwa'cul hnakf.,They are the whisper on the shivering wind.
它们饮食你的恐惧：那是生命之血。,Ywaq puul skshgn: on'ma yeh'glu zuq.,They drink your fear: it is the blood of life.
凝视虚空吧。,Gul'kafh an'shel.,Gaze into the void.
黑暗帝国曾经统治过这个世界它必将再次崛起！你们这些可怜的种族在接下来的十万个千年中只会知道绝望和悲伤！,Shath'mag vwyq shu et'agthu Shath'mag sshk ye! Krz'ek fhn'z agash zz maqdahl or'kaaxth'ma amqa!,The Black Empire once ruled this world and it will do so again! Your pitiful kind will know only despair and sorrow for a hundred thousand millennia to come!
那条扭曲的无眼之蛇正在从无尽的天空中注视着。,Poq'yith mazzka awan ki uhnish'philfgsh.,The crooked serpent with no eyes is watching from the endless sky.
死后没有光明。只有一个连阴影都不敢踏足的地方。,En'othk uulg'shuul. Mh'za uulwi skshgn kar.,There is no light after death. Only a place where even shadows fear to go.
恩佐斯的声音从深渊中低语。它歌颂着无法言喻的恐怖。,Il'zarq N'Zoth phgwa an'zig. Il'zarq taag ov'kadaq.,The voice of N'Zoth whispers from the deeps. It sings of unspeakable horrors.
